MidEast Pipes Co Financial Model,,Historical Period,,,Forecast,,,,,,,,,,
,,2022A,2023A,2024A,2025F,2026F,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet:,EGP,,,,,,,,,,,,,,
Current Assets:,,,,,,,,,,,,,,,
Cash,,"14,498,767","27,861,353","33,099,684","50,889,819","61,914,483",,item,days,2022,2023,2024,2025,2026,
Account Recivable,,"14,671,233","16,977,397","19,465,753","22,399,635","25,877,328",,AR,35,"$14,671,233","$16,977,397","$19,465,753","$22,399,635","$25,877,328",
Inventory,,"14,005,479","16,238,342","18,777,452","21,679,607","25,096,668",,Inventory,45,"$14,005,479","$16,238,342","$18,777,452","$21,679,607","$25,096,668",
Total Current Assets,,"43,175,479","61,077,092","71,342,890","94,969,061","112,888,480",,AP,45,"$14,005,479","$16,238,342","$18,777,452","$21,679,607","$25,096,668",
Fixed Assets:,,,,,,,,,,,,,,,
Equipment,,"45,600,000","42,200,000","48,400,000","44,600,000","40,800,000",,,,,,,,,
Building,,"19,500,000","19,000,000","18,500,000","18,000,000","17,500,000",,Item,value,deprecation,2022,2023,2024,2025,2026
Vehicles &Forklifts,,"7,000,000","6,000,000","5,000,000","4,000,000","3,000,000",,Equipment,"$49,000,000 ","($3,400,000)","$45,600,000 ","$42,200,000 ","$38,800,000 ","$35,400,000 ","$32,000,000 "
Land,,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000",,Building,"$20,000,000 ","($500,000)","$19,500,000 ","$19,000,000 ","$18,500,000 ","$18,000,000 ","$17,500,000 "
Expansion,,,,,,"9,750,000",,Vehicles &Forklifts,"$8,000,000 ","($1,000,000)","$7,000,000 ","$6,000,000 ","$5,000,000 ","$4,000,000 ","$3,000,000 "
Total Fixed Assets,,"77,100,000","72,200,000","76,900,000","71,600,000","76,050,000",,Equipment,"$10,000,000 ","($400,000)",N/A,N/A,"$9,600,000 ","$9,200,000 ","$8,800,000 "
Total Assets,,120.3M,133.3M,148.2M,166.6M,188.9M,,Expansion,"$10,000,000 ","($250,000)",N/A,N/A,N/A,N/A,"$9,750,000 "
,,,,,,,,,,,,,,,
Current Liabilities:,,,,,,,,debt,value,repayment,2022,2023,2024,2025,2026
Account Payable,,"14,005,479","16,238,342","18,777,452","21,679,607","25,096,668",,Equipment Loan,"$32,000,000 ","$3,500,000 ","$28,500,000 ","$25,000,000 ","$21,500,000 ","$18,000,000 ","$14,500,000 "
Working Capital debt,,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",,Working Capital,"$10,000,000 ","$2,500,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 "
Income Tax Payable,,"3,084,750","3,796,313","4,320,900","5,092,423","6,034,372",,,,,,,,,
Accured Expenses,,"3,060,000","3,541,000","4,060,000","4,671,924","5,397,271",,Accured Expenses,Percentage,value,,,,,
Total Current Liabilities,,"30,150,229","33,575,655","37,158,352","41,443,954","46,528,312",,2022,2%,"$3,060,000 ",,,,,
Fixed Liabilites:,,,,,,,,2023,2%,"$3,541,000 ",,,,,
Equipment Loan,,"28,500,000","25,000,000","21,500,000","18,000,000","14,500,000",,2024,2%,"$4,060,000 ",,,,,
Total Fixed Liabilites,,"28,500,000","25,000,000","21,500,000","18,000,000","14,500,000",,2025,2%,"$4,671,924 ",,,,,
Total Liabilities ,,58.7M,58.6M,58.7M,59.4M,61.0M,,2026,2%,"$5,397,271 ",,,,,
Equity:,,,,,,,,,,,,,,,
Share Capital,,"51,000,000","51,000,000","51,000,000","51,000,000","51,000,000",,,,,,,,,
Retained Earnings,,"10,625,250","23,701,438","38,584,538","56,125,107","76,910,168",,,,,,,,,
Total Equity,,"61,625,250","74,701,438","89,584,538","107,125,107","127,910,168",,,,,,,,,
Total Liabilities and Equity,,120.3M,133.3M,148.2M,166.6M,188.9M,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Check:,,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
